Associate ID,Email triggered date
101017,06-Aug-21
101162,02-Aug-21
101368,08-Sep-21
101489,15-Jun-21
101554,08-Sep-21
101656,18-Mar-22
101699,10-Aug-21
101809,26-Feb-21
102010,23-Aug-21
102035,19-Apr-22
102053,28-Dec-21
102065,23-Mar-22
102094,15-Jun-21
102131,13-Apr-22
102210,04-Aug-21
102212,23-Sep-21
102214,12-Apr-21
102220,27-Dec-21
102268,03-Mar-22
102329,23-Sep-21
102330,15-Jan-21
102454,24-Jun-21
102477,24-Mar-22
102481,11-Mar-22
102482,21-Apr-22
102582,16-Aug-21
102661,13-Jan-22
102665,30-Apr-21
102847,07-Jul-21
102912,25-Apr-22
102962,30-Apr-21
103148,01-Jun-21
103167,12-Nov-21
103250,25-Apr-22
103257,24-Jun-21
103304,06-Oct-21
103310,10-Mar-22
103323,04-Aug-21
103399,28-Jul-21
103402,21-Apr-21
103456,15-Nov-21
103472,07-Apr-21
103496,29-Sep-21
103503,25-Oct-21
103571,10-Mar-22
103608,28-Jun-21
103718,13-Oct-21
103784,17-May-21
104020,25-Aug-21
104096,11-Mar-22
104131,21-Apr-22
104336,24-May-21
104377,03-Nov-21
104396,06-Jan-22
104409,18-Aug-21
104444,07-Jan-22
104482,31-Mar-22
104631,11-Apr-22
104639,24-Sep-21
104751,02-Mar-22
104756,18-Jan-21
104785,21-Apr-22
104795,31-Aug-21
104975,31-Mar-21
105038,11-Feb-22
105055,21-Jan-21
105074,21-Oct-21
105192,12-Aug-21
105206,13-Sep-21
105375,30-Apr-21
105387,21-Mar-22
105448,24-Mar-21
105452,20-May-21
105579,20-Jan-22
105606,24-May-21
105688,31-May-21
105758,04-Jan-22
105851,19-Jan-21
105930,28-Jul-21
106012,07-May-21
106093,19-Jan-21
106261,13-Apr-22
106269,07-Apr-21
106276,03-Jun-21
106287,22-Jul-21
106462,15-Mar-22
106575,25-Apr-22
106594,18-Jun-21
106666,18-Jan-21
106668,10-Mar-21
106680,19-Aug-21
106765,21-Jun-21
106925,16-Feb-22
106951,24-Mar-21
107070,29-Apr-21
107108,03-Dec-21
107117,29-Sep-21
107132,02-Nov-21
107204,31-May-21
107233,07-Feb-22
107264,04-Feb-22
107280,21-Jan-21
107308,07-May-21
107335,23-Jul-21
107360,01-Jun-21
107381,04-Aug-21
107436,06-Dec-21
107457,20-Apr-22
107461,22-Oct-21
107527,10-Dec-21
107532,31-Jan-22
107545,02-Aug-21
107657,05-Oct-21
107732,16-Mar-22
107795,12-Aug-21
107809,20-Jul-21
107916,26-May-21
107969,30-Jun-21
108001,24-Mar-21
108095,24-May-21
108141,22-Apr-22
108145,14-Jul-21
108179,25-Oct-21
108206,21-Mar-22
108212,10-Jun-21
108234,16-Dec-21
108238,09-Aug-21
108298,20-Jan-22
108348,23-Sep-21
108350,11-Oct-21
108487,05-Jul-21
108513,29-Mar-22
108608,27-Jul-21
108627,12-Nov-21
108633,29-Apr-21
108855,14-Mar-22
108980,01-Dec-21
109002,03-Feb-22
109005,13-Apr-22
109049,19-Jan-21
109090,28-Apr-21
109138,31-Mar-22
109230,10-Nov-21
109264,14-Oct-21
109523,09-Aug-21
109526,12-May-21
109581,03-Mar-22
109604,24-Sep-21
109665,15-Dec-21
109710,23-Aug-21
109888,16-Apr-21
109890,29-Sep-21
109892,15-Apr-21
109952,22-Jan-21
109972,11-Jan-22
109994,29-Mar-21
110048,15-Mar-22
110065,27-Sep-21
110145,28-Jun-21
110319,29-Sep-21
110458,27-Oct-21
110471,05-Jan-22
110531,09-Sep-21
110571,22-Mar-21
110612,22-Dec-21
110648,15-Jul-21
110731,19-Feb-21
110976,16-Apr-21
111003,06-Aug-21
111011,20-Apr-21
111029,25-Mar-21
111033,11-Aug-21
111070,04-Jan-22
111095,02-Mar-21
111185,10-Jun-21
